city_id,city_name,state,country,lat,lon,temperature,humidity,cloudiness,wind_speed,weather_condition,weather_condition_desc
2375989,Tiris Zemmour,,MR,24.0,-9.0,102.96,15.0,0.0,17.94,Clear,clear sky
3516843,Santo Domingo Tehuantepec,,MX,16.33333,-95.23333,94.68,40.0,100.0,7.76,Clouds,overcast clouds
2640376,Peopleton,,GB,52.153381,-2.09131,58.05,95.0,100.0,1.99,Clouds,overcast clouds
5262596,Menasha,WI,US,44.202209,-88.446503,81.64,32.0,40.0,6.93,Clouds,scattered clouds
3588257,Departamento de Totonicapán,,GT,15.0,-91.333328,60.01,86.0,80.0,3.0,Rain,moderate rain
4559761,Morrisville,PA,US,39.894798,-80.161728,75.45,73.0,90.0,5.82,Clouds,overcast clouds
5144948,Woodbury,NY,US,41.36454,-74.10598,80.33,65.0,20.0,6.93,Clouds,few clouds
7296006,Filton,,GB,51.511299,-2.5739,58.44,100.0,100.0,4.7,Rain,moderate rain
4178003,Weston,FL,US,26.10037,-80.399773,88.77,56.0,18.0,5.99,Rain,light rain
3518403,Xaltocan,,MX,19.41667,-98.199997,66.2,59.0,5.0,1.63,Clear,clear sky
6325251,Santa Kurutz,,ES,43.176842,-2.29767,63.99,80.0,26.0,7.0,Clouds,scattered clouds
3807898,Ex-Colonia Móvil del Dorado,,VE,6.71,-61.619445999999996,89.87,57.0,81.0,1.39,Rain,light rain
2521909,Almassora,,ES,39.950001,-0.05,70.0,82.0,6.0,4.0,Clear,clear sky
6448550,Châtillon-en-Vendelais,,FR,48.216671,-1.16667,61.54,88.0,97.0,8.05,Rain,light rain
3676644,Lenguazaque,,CO,5.30711,-73.711517,60.49,77.0,95.0,4.52,Rain,light rain
6357045,Ribesalbes,,ES,40.024502,-0.26996000000000003,70.0,82.0,37.0,4.0,Clouds,scattered clouds
3106030,Vide,,ES,42.225658,-7.66,68.0,53.0,16.0,9.48,Clouds,few clouds
5966694,Greenwood,,CA,49.099789,-118.685608,62.01,68.0,0.0,1.36,Clear,clear sky
3128733,Barcenilla,,ES,43.38871,-3.95648,65.84,72.0,20.0,5.82,Clouds,few clouds
6359951,Pesoz,,ES,43.265678,-6.86652,67.84,58.0,65.0,11.99,Clouds,broken clouds
2965033,Crinkill,,IE,53.077221,-7.89722,62.98,76.0,93.0,6.24,Rain,moderate rain
5040195,Olivia,MN,US,44.776348,-94.989723,70.61,83.0,1.0,5.82,Clear,clear sky
3105469,Villalobos,,ES,41.945671,-5.47517,73.4,31.0,24.0,10.29,Clouds,few clouds
2521804,Altea,,ES,38.59885,-0.051390000000000005,75.18,64.0,8.0,9.64,Clear,clear sky
3690172,Algarrobo,,CO,10.18694,-74.575279,87.17,69.0,72.0,3.4,Clouds,broken clouds
8014405,Rio de Mouro,,PT,38.76889,-9.33273,68.5,52.0,20.0,20.8,Clouds,few clouds
8012556,Agualva,,PT,38.771221,-9.29286,68.95,52.0,20.0,20.8,Clouds,few clouds
3519216,San Gregorio Atzompa,,MX,19.033331,-98.333328,66.2,59.0,5.0,3.15,Clear,clear sky
5116480,Elma Center,NY,US,42.829781,-78.636139,81.84,39.0,20.0,6.93,Clouds,few clouds
3129937,Aoiz,,ES,42.786331,-1.37252,69.03,56.0,40.0,13.87,Clouds,scattered clouds
6358271,Alcubierre,,ES,41.788261,-0.45238000000000006,77.09,41.0,40.0,4.7,Clouds,scattered clouds
4134330,Union County,AR,US,33.150131,-92.650162,82.2,58.0,20.0,8.05,Clouds,few clouds
6360970,Benacazón,,ES,37.340359,-6.21053,82.99,35.0,0.0,5.99,Clear,clear sky
6121889,Riceton,,CA,50.116772,-104.317802,44.2,93.0,90.0,16.11,Rain,light rain
2509615,Vilches,,ES,38.206951,-3.51025,87.82,17.0,3.0,12.3,Clear,clear sky
3130790,Ahigal de Villarino,,ES,41.158192,-6.38037,75.99,34.0,11.0,5.99,Clouds,few clouds
2245546,Simenti,,SN,13.03333,-13.3,102.9,28.0,16.0,2.75,Clouds,few clouds
3689589,Ariguaní,,CO,10.25,-74.0,87.78,65.0,29.0,5.06,Clouds,scattered clouds
6432791,Pleumeleuc,,FR,48.183331,-1.91667,60.33,93.0,98.0,8.05,Rain,light rain
2732326,Vila Verde,,PT,41.647289,-8.43715,67.91,72.0,20.0,13.87,Clouds,few clouds
2654415,Buckhaven,,GB,56.17149,-3.03377,59.36,75.0,96.0,5.99,Clouds,overcast clouds
4625945,Gray,TN,US,36.41983,-82.47654,72.52,74.0,76.0,3.74,Rain,light rain
5947748,Elko,,CA,49.299938,-115.118721,57.02,76.0,75.0,4.7,Clouds,broken clouds
3107112,Rivas-Vaciamadrid,,ES,40.32605,-3.5108800000000002,84.09,19.0,20.0,10.29,Clouds,few clouds
